sggdeu0402,DFKI-MLT,10,TGT,sgg,deu,0,srf.0#75-86,False,1663354726.565,1663354730.18
sggdeu0402,DFKI-MLT,9,TGT,sgg,deu,0,srf.0#75-86,False,1663354724.023,1663354726.527
sggdeu0402,DFKI-MLT,8,TGT,sgg,deu,0,srf.0#75-86,False,1663354721.16,1663354723.999
sggdeu0402,DFKI-MLT,7,TGT,sgg,deu,0,srf.0#75-86,False,1663354718.195,1663354721.119
sggdeu0402,DFKI-MLT,6,TGT,sgg,deu,0,srf.0#75-86,False,1663354711.008,1663354718.164
sggdeu0402,DFKI-MLT,5,TGT,sgg,deu,0,srf.0#75-86,False,1663354708.157,1663354710.963
sggdeu0402,DFKI-MLT,4,TGT,sgg,deu,0,srf.0#75-86,False,1663354705.039,1663354708.121
sggdeu0402,DFKI-MLT,3,TGT,sgg,deu,0,srf.0#75-86,False,1663354701.736,1663354705.016
sggdeu0402,DFKI-MLT,2,TGT,sgg,deu,0,srf.0#75-86,False,1663354698.71,1663354701.704
sggdeu0402,DFKI-MLT,1,TGT,sgg,deu,0,srf.0#75-86,False,1663354693.442,1663354698.693
sggdeu0402,DFKI-MLT,0,TGT,sgg,deu,0,srf.0#75-86,False,1663354681.279,1663354693.404
sggdeu0402,njupt-mtt,134,TGT,sgg,deu,0,srf.0#123-134,True,1663354586.869,1663354679.474
sggdeu0402,njupt-mtt,11,TGT,sgg,deu,0,srf.0#123-134,False,1663354666.649,1663354673.055
sggdeu0402,njupt-mtt,10,TGT,sgg,deu,0,srf.0#123-134,False,1663354661.377,1663354666.609
sggdeu0402,njupt-mtt,9,TGT,sgg,deu,0,srf.0#123-134,False,1663354654.926,1663354661.345
sggdeu0402,njupt-mtt,8,TGT,sgg,deu,0,srf.0#123-134,False,1663354641.154,1663354654.875
sggdeu0402,njupt-mtt,7,TGT,sgg,deu,0,srf.0#123-134,False,1663354636.961,1663354641.13
sggdeu0402,njupt-mtt,6,TGT,sgg,deu,0,srf.0#123-134,False,1663354630.288,1663354636.927
sggdeu0402,njupt-mtt,5,TGT,sgg,deu,0,srf.0#123-134,False,1663354621.877,1663354630.237
sggdeu0402,njupt-mtt,4,TGT,sgg,deu,0,srf.0#123-134,False,1663354611.476,1663354621.85
sggdeu0402,njupt-mtt,3,TGT,sgg,deu,0,srf.0#123-134,False,1663354607.917,1663354611.446
sggdeu0402,njupt-mtt,2,TGT,sgg,deu,0,srf.0#123-134,False,1663354602.605,1663354607.883
sggdeu0402,njupt-mtt,1,TGT,sgg,deu,0,srf.0#123-134,False,1663354595.313,1663354602.587
sggdeu0402,njupt-mtt,0,TGT,sgg,deu,0,srf.0#123-134,False,1663354586.985,1663354595.295
sggdeu0402,translator-A,242,TGT,sgg,deu,100,srf.0#231-242,True,1663354580.83,1663354585.389
sggdeu0402,translator-A,11,TGT,sgg,deu,100,srf.0#231-242,False,1663354572.974,1663354580.807
sggdeu0402,translator-A,10,TGT,sgg,deu,100,srf.0#231-242,False,1663354558.594,1663354572.942
sggdeu0402,translator-A,9,TGT,sgg,deu,100,srf.0#231-242,False,1663354549.998,1663354558.566
sggdeu0402,translator-A,8,TGT,sgg,deu,92,srf.0#231-242,False,1663354521.88,1663354549.966
sggdeu0402,translator-A,7,TGT,sgg,deu,100,srf.0#231-242,False,1663354507.191,1663354521.848
sggdeu0402,translator-A,6,TGT,sgg,deu,100,srf.0#231-242,False,1663354494.348,1663354507.158
sggdeu0402,translator-A,5,TGT,sgg,deu,100,srf.0#231-242,False,1663354481.179,1663354494.311
sggdeu0402,translator-A,4,TGT,sgg,deu,100,srf.0#231-242,False,1663354479.75,1663354481.144
sggdeu0402,translator-A,3,TGT,sgg,deu,100,srf.0#231-242,False,1663354446.451,1663354462.656
sggdeu0402,translator-A,2,TGT,sgg,deu,84,srf.0#231-242,False,1663354432.74,1663354446.421
sggdeu0402,translator-A,1,TGT,sgg,deu,100,srf.0#231-242,False,1663354421.723,1663354432.701
sggdeu0402,translator-A,0,TGT,sgg,deu,100,srf.0#231-242,False,1663354405.686,1663354421.701
